time,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2]
0.66,4.845570183,1.069411201,-3.607637649,-4.513356563,49.76016409,18.5572757
0.67,4.826814909,0.999256589,-3.64515593,-6.449903543,50.4120636,14.76320436
0.68,4.809161308,0.928668935,-3.679989982,-8.396807403,50.68683356,10.96553605
0.69,4.792654434,0.857688302,-3.712151695,-10.34081709,50.58793405,7.192755072
0.7,4.777335928,0.78635288,-3.741652997,-12.26854585,50.12132777,3.472622598
0.71,4.763244009,0.714699093,-3.76850564,-14.16658869,49.29539264,-0.16794833
0.72,4.750413485,0.642761713,-3.792721,-16.02163889,48.12082877,-3.703006949
0.73,4.738875748,0.570573992,-3.814309895,-17.82060241,46.61056081,-7.107669167
0.74,4.728658788,0.498167792,-3.833282418,-19.55070962,44.77963634,-10.35821333
0.75,4.719787204,0.425573727,-3.849647793,-21.19962328,42.64512092,-13.43216856
0.76,4.712282207,0.352821315,-3.863414241,-22.75554213,40.22599014,-16.30839679
0.77,4.706161641,0.279939122,-3.87458887,-24.20729941,37.54301901,-18.96716967
0.78,4.701439984,0.206954926,-3.883177579,-25.54445559,34.6186686,-21.3902414
0.79,4.698128365,0.133895871,-3.889184979,-26.75738465,31.47697001,-23.56091845
0.8,4.696234563,0.060788634,-3.892614339,-27.83735351,28.14340539,-25.46412706
0.81,4.695763022,-0.012340413,-3.893467537,-28.77659384,24.64478574,-27.08647932
0.82,4.696714846,-0.085465035,-3.891745044,-29.56836586,21.00912501,-28.4163384
0.83,4.699087803,-0.158558971,-3.887445913,-30.20701372,17.26551016,-29.44388339
0.84,4.702876327,-0.231595765,-3.880567791,-30.68801179,13.44396644,-30.1611741
0.85,4.708071507,-0.304548599,-3.871106952,-31.0080017,9.575317345,-30.56221582
0.86,4.714661085,-0.377390134,-3.859058342,-31.16481953,5.691038714,-30.6430241
0.87,4.722629447,-0.450092344,-3.844415645,-31.15751293,1.823106115,-30.40168907
0.88,4.731957617,-0.522626359,-3.827171366,-30.98634777,-1.996164956,-29.83843903
0.89,4.742623239,-0.594962307,-3.807316932,-30.65280411,-5.734286743,-28.95570237
0.9,4.754600572,-0.66706917,-3.784842811,-30.15956121,-9.358775312,-27.75816696
0.91,4.767860478,-0.738914632,-3.759738646,-29.51047146,-12.8373355,-26.25283598
0.92,4.782370414,-0.810464942,-3.731993413,-28.71052304,-16.13805512,-24.44907856
0.93,4.798094421,-0.881684785,-3.701595586,-27.76579142,-19.22960856,-22.35867382
0.94,4.814993124,-0.952537154,-3.668533333,-26.68337957,-22.08146998,-19.99584653
0.95,4.833023731,-1.022983239,-3.632794713,-25.47134725,-24.66413582,-17.37729222
0.96,4.852140036,-1.092982317,-3.5943679,-24.13862941,-26.94935628,-14.52218988
0.97,4.872292437,-1.162491666,-3.553241423,-22.69494428,-28.91037525,-11.45219968
0.98,4.89342795,-1.231466477,-3.509404414,-21.15069159,-30.52217756,-8.191443498
0.99,4.915490244,-1.299859789,-3.462846876,-19.51684153,-31.76174259,-4.766465783
1,4.938419678,-1.367622437,-3.413559965,-17.80481541,-32.60830238,-1.20
