time,accSmooth[0],accSmooth[1],accSmooth[2],gyroADC[0],gyroADC[1],gyroADC[2]
0.066,8.8189213,4.130411398,2.611501609,-17.941662,90.67677375,-136.1936578
0.067,8.824292304,4.139578208,2.584143571,-17.44652929,88.8992387,-137.6828059
0.068,8.829618389,4.148653844,2.55670856,-16.95522377,87.09635601,-139.1485507
0.069,8.834899029,4.157637872,2.529197251,-16.46774817,85.26846873,-140.5905028
0.07,8.840133702,4.166529862,2.501610321,-15.98410299,83.41592652,-142.008277
0.071,8.845321891,4.175329386,2.473948459,-15.50428645,81.53908553,-143.4014929
0.072,8.850463081,4.184036017,2.446212355,-15.02829455,79.63830834,-144.7697744
0.073,8.855556762,4.192649335,2.418402708,-14.55612108,77.71396395,-146.1127503
0.074,8.860602427,4.20116892,2.390520225,-14.08775758,75.76642767,-147.4300539
0.075,8.865599574,4.209594357,2.362565615,-13.62319343,73.79608103,-148.7213238
0.076,8.870547704,4.217925232,2.334539598,-13.1624158,71.80331176,-149.9862034
0.077,8.875446324,4.226161137,2.306442897,-12.70540969,69.7885137,-151.2243413
0.078,8.880294941,4.234301665,2.278276243,-12.25215798,67.75208669,-152.4353914
0.079,8.885093071,4.242346415,2.250040372,-11.80264138,65.69443652,-153.619013
0.08,8.889840232,4.250294987,2.221736027,-11.35683849,63.61597487,-154.774871
0.081,8.894535946,4.258146987,2.193363958,-10.91472584,61.51711916,-155.9026356
0.082,8.899179741,4.265902021,2.164924918,-10.47627784,59.39829256,-157.001983
0.083,8.903771148,4.273559703,2.136419669,-10.0414669,57.25992379,-158.0725952
0.084,8.908309704,4.281119647,2.107848978,-9.61026334,55.10244713,-159.1141601
0.085,8.91279495,4.288581474,2.079213618,-9.18263552,52.92630228,-160.1263717
0.086,8.917226431,4.295944806,2.050514368,-8.75854979,50.73193427,-161.10893
0.087,8.921603697,4.303209271,2.021752012,-8.33797055,48.51979335,-162.0615414
0.088,8.925926305,4.3103745,1.992927341,-7.920860266,46.29033493,-162.9839187
0.089,8.930193815,4.317440128,1.964041151,-7.507179499,44.04401946,-163.8757809
0.09,8.934405791,4.324405795,1.935094243,-7.096886933,41.7813123,-164.736854
0.091,8.938561805,4.331271144,1.906087426,-6.689939406,39.50268368,-165.5668702
0.092,8.942661432,4.338035822,1.877021513,-6.286291935,37.20860852,-166.3655688
0.093,8.946704253,4.344699483,1.847897322,-5.885897752,34.89956638,-167.1326957
0.094,8.950689854,4.351261781,1.818715677,-5.488708334,32.57604131,-167.8680039
0.095,8.954617826,4.357722378,1.789477407,-5.094673434,30.23852176,-168.5712534
0.096,8.958487766,4.364080939,1.760183348,-4.703741116,27.88750046,-169.2422114
0.097,8.962299277,4.370337134,1.730834339,-4.315857788,25.52347431,-169.8806521
0.098,8.966051966,4.376490636,1.701431227,-3.930968241,23.14694425,-170.4863571
0.099,8.969745447,4.382541124,1.67197486,-3.549015677,20.75841515,-171.0591155
0.1,8.973379338,4.388488282,1.642466095,-3.169941754,18.35839568,-171.5987236
0.101,8.976953266,4.394331798,1.612905793,-2.793686618,15.94739821,-172.1049856
0.102,8.980466859,4.400071364,1.583294818,-2.420188943,13.52593863,-172.5777129
0.103,8.983919756,4.405706679,1.553634041,-2.04938597,11.09453631,-173.0167249
0.104,8.987311597,4.411237445,1.523924337,-1.681213548,8.653713885,-173.4218487
0.105,8.990642032,4.416663369,1.494166587,-1.31560617,6.203997191,-173.792919
0.106,8.993910714,4.421984163,1.464361674,-0.952497018,3.745915097,-174.1297788
0.107,8.997117304,4.427199546,1.434510488,-0.591818004,1.279999384,-174.4322786
0.108,9.000261468,4.432309239,1.404613922,-0.233499812,-1.193215386,-174.7002774
0.109,9.003342879,4.43731297,1.374672875,0.12252806,-3.67319201,-174.933642
0.11,9.006361215,4.442210472,1.344688248,0.476337256,-6.159390776,-175.1322473
0.111,9.009316163,4.447001482,1.31466095,0.828000517,-8.651269602,-175.2959765
0.112,9.012207413,4.451685744,1.284591889,1.177591635,-11.14828418,-175.4247212
0.113,9.015034663,4.456263006,1.254481982,1.525185413,-13.6498881,-175.5183811
0.114,9.017797617,4.460733021,1.224332148,1.870857613,-16.15553301,-175.5768643
0.115,9.020495986,4.46509555,1.194143309,2.214684912,-18.66466875,-175.6000872
0.116,9.023129488,4.469350356,1.163916393,2.556744858,-21.1767435,-175.5879749
0.117,9.025697845,4.473497209,1.13365233,2.897115817,-23.69120391,-175.5404607
0.118,9.02820079,4.477535885,1.103352054,3.235876931,-26.20749525,-175.4574866
0.119,9.030638057,4.481466164,1.073016503,3.573108066,-28.72506157,-175.3390031
0.12,9.033009392,4.485287833,1.04264662,3.908889766,-31.24334584,-175.1849691
0.121,9.035314545,4.489000685,1.012243348,4.243303202,-33.76179007,-174.9953525
0.122,9.037553274,4.492604516,0.981807637,4.576430125,-36.27983552,-174.7701294
0.123,9.039725341,4.496099131,0.951340437,4.908352814,-38.79692276,-174.5092849
0.124,9.041830519,4.499484339,0.920842704,5.239154028,-41.31249192,-174.2128126
0.125,9.043868586,4.502759954,0.890315395,5.568916955,-43.82598275,-173.8807147
0.126,9.045839325,4.505925796,0.859759471,5.897725162,-46.33683484,-173.5130024
0.127,9.04774253,4.508981693,0.829175895,6.225662546,-48.8444877,-173.1096954
0.128,9.049577999,4.511927477,0.798565635,6.552813279,-51.34838099,-172.6708222
0.129,9.051345537,4.514762986,0.767929659,6.879261762,-53.8479546,-172.1964199
0.13,9.053044958,4.517488064,0.73726894,7.20509257,-56.34264886,-171.6865345
0.131,9.054676082,4.52010256,0.706584451,7.530390403,-58.83190464,-171.1412208
0.132,9.056238736,4.522606331,0.675877169,7.855240036,-61.31516353,-170.560542
0.133,9.057732754,4.524999239,0.645148073,8.179726262,-63.79186799,-169.9445704
0.134,9.059157978,4.527281151,0.614398146,8.503933849,-66.26146151,-169.2933867
0.135,9.060514258,4.529451942,0.583628369,8.82794748,-68.72338872,-168.6070806
0.136,9.061801448,4.531511491,0.552839729,9.151851708,-71.17709559,-167.8857502
0.137,9.063019413,4.533459684,0.522033212,9.475730902,-73.62202956,-167.1295024
0.138,9.064168023,4.535296414,0.491209809,9.799669197,-76.05763969,-166.3384529
0.139,9.065247156,4.537021578,0.46037051,10.12375044,-78.48337681,-165.5127257
0.14,9.066256697,4.538635081,0.429516307,10.44805814,-80.89869367,-164.6524535
0.141,9.067196539,4.540136833,0.398648195,10.77267542,-83.3030451,-163.7577779
0.142,9.068066582,4.541526751,0.36776717,11.09768497,-85.69588815,-162.8288484
0.143,9.068866734,4.542804758,0.336874227,11.42316898,-88.07668221,-161.8658236
0.144,9.069596909,4.543970782,0.305970366,11.7492091,-90.44488923,-160.8688702
0.145,9.07025703,4.54502476,0.275056585,12.0758864,-92.79997379,-159.8381633
0.146,9.070847026,4.545966631,0.244133886,12.4032813,-95.1414033,-158.7738867
0.147,9.071366834,4.546796344,0.213203268,12.73147355,-97.46864811,-157.6762321
0.148,9.0718164,4.547513853,0.182265733,13.06054214,-99.78118167,-156.5453997
0.149,9.072195676,4.548119117,0.151322286,13.39056528,-102.0784807,-155.3815978
0.15,9.07250462,4.548612103,0.120373928,13.72162035,-104.3600252,-154.1850431
0.151,9.0727432,4.548992783,0.089421664,14.05378384,-106.6252989,-152.9559601
0.152,9.072911391,4.549261137,0.058466498,14.38713132,-108.8737891,-151.6945815
0.153,9.073009175,4.549417148,0.027509434,14.72173735,-111.1049867,-150.4011478
0.154,9.073036541,4.54946081,-0.003448523,15.05767552,-113.3183868,-149.0759077
0.155,9.072993486,4.549392118,-0.034406367,15.39501829,-115.5134886,-147.7191175
0.156,9.072880016,4.549211077,-0.065363095,15.73383705,-117.6897953,-146.3310413
0.157,9.072696141,4.548917697,-0.096317702,16.074202,-119.8468146,-144.9119508
0.158,9.072441882,4.548511994,-0.127269183,16.41618215,-121.9840587,-143.4621256
0.159,9.072117266,4.547993992,-0.158216533,16.75984525,-124.1010443,-141.9818525
0.16,9.071722327,4.547363718,-0.18915875,17.10525775,-126.1972929,-140.4714259
0.161,9.071257108,4.546621208,-0.22009483,17.45248479,-128.2723309,-138.9311474
0.162,9.070721657,4.545766503,-0.251023771,17.8015901,-130.3256897,-137.3613262
0.163,9.070116032,4.544799651,-0.281944571,18.15263601,-132.3569057,-135.7622783
0.164,9.069440298,4.543720706,-0.312856228,18.50568339,-134.3655207,-134.134327
0.165,9.068694526,4.542529728,-0.343757743,18.86079161,-136.3510817,-132.4778025
0.166,9.067878796,4.541226782,-0.374648117,19.21801848,-138.3131414,-130.793042
0.167,9.066993194,4.539811942,-0.405526352,19.57742026,-140.2512578,-129.0803892
0.168,9.066037815,4.538285286,-0.436391451,19.93905159,-142.1649949,-127.3401948
0.169,9.06501276,4.536646898,-0.467242419,20.30296543,-144.0539224,-125.572816
0.17,9.063918139,4.53489687,-0.498078263,20.6692131,-145.9176159,-123.7786164
0.171,9.062754067,4.533035299,-0.52889799,21.03784415,-147.7556571,-121.957966
0.172,9.061520668,4.531062288,-0.559700609,21.40890641,-149.5676339,-120.111241
0.173,9.060218073,4.528977946,-0.590485132,21.78244588,-151.3531402,-118.2388239
0.174,9.058846421,4.526782388,-0.621250572,22.15850678,-153.1117767,-116.341103
0.175,9.057405857,4.524475736,-0.651995944,22.53713145,-154.8431501,-114.4184727
0.176,9.055896534,4.522058118,-0.682720264,22.91836034,-156.546874,-112.4713331
0.177,9.054318611,4.519529666,-0.713422553,23.302232,-158.2225685,-110.50009
0.178,9.052672256,4.516890521,-0.744101831,23.68878303,-159.8698603,-108.5051547
0.179,9.050957644,4.514140828,-0.774757122,24.07804805,-161.4883833,-106.486944
0.18,9.049174955,4.511280738,-0.805387453,24.47005969,-163.0777781,-104.44588
0.181,9.047324379,4.508310408,-0.835991852,24.86484855,-164.6376922,-102.3823898
0.182,9.045406111,4.505230001,-0.86656935,25.26244319,-166.1677805,-100.2969059
0.183,9.043420353,4.502039688,-0.897118983,25.66287008,-167.6677047,-98.18986526
0.184,9.041367316,4.498739641,-0.927639786,26.06615361,-169.1371341,-96.06171002
0.185,9.039247217,4.495330043,-0.9581308,26.47231604,-170.5757451,-93.91288678
0.186,9.037060278,4.49181108,-0.988591067,26.88137748,-171.9832216,-91.74384668
0.187,9.034806731,4.488182943,-1.019019633,27.29335592,-173.3592549,-89.55504529
0.188,9.032486812,4.48444583,-1.049415549,27.70826713,-174.703544,-87.34694237
0.189,9.030100766,4.480599946,-1.079777865,28.1261247,-176.0157954,-85.12000185
0.19,9.027648844,4.476645498,-1.110105638,28.54694002,-177.2957231,-82.87469159
0.191,9.025131303,4.472582703,-1.140397927,28.97072224,-178.5430491,-80.61148331
0.192,9.022548409,4.46841178,-1.170653795,29.39747826,-179.7575031,-78.33085242
0.193,9.019900432,4.464132955,-1.200872309,29.82721273,-180.9388226,-76.03327789
0.194,9.017187649,4.459746459,-1.231052538,30.25992806,-182.086753,-73.7192421
0.195,9.014410345,4.455252529,-1.261193557,30.69562433,-183.2010477,-71.38923071
0.196,9.011568811,4.450651408,-1.291294443,31.13429938,-184.281468,-69.04373249
0.197,9.008663344,4.445943342,-1.321354279,31.57594872,-185.3277833,-66.68323923
0.198,9.005694247,4.441128584,-1.351372149,32.02056556,-186.339771,-64.30824553
0.199,9.002661831,4.436207393,-1.381347145,32.46814082,-187.3172167,-61.91924873
0.2,8.999566411,4.431180032,-1.411278361,32.91866306,-188.2599142,-59.51674869
0.201,8.996408311,4.426046769,-1.441164894,33.37211857,-189.1676652,-57.1012477
0.202,8.993187859,4.420807878,-1.471005848,33.82849126,-190.04028,-54.67325031
0.203,8.989905389,4.415463637,-1.500800331,34.28776275,-190.8775769,-52.23326319
0.204,8.986561244,4.410014331,-1.530547454,34.74991231,-191.6793825,-49.78179501
0.205,8.98315577,4.404460247,-1.560246333,35.2149169,-192.4455317,-47.31935624
0.206,8.97968932,4.398801681,-1.58989609,35.68275113,-193.1758677,-44.84645905
0.207,8.976162253,4.393038929,-1.619495851,36.15338729,-193.8702421,-42.36361715
0.208,8.972574934,4.387172297,-1.649044746,36.62679535,-194.5285146,-39.87134565
0.209,8.968927734,4.381202091,-1.678541912,37.10294296,-195.1505536,-37.3701609
0.21,8.965221029,4.375128625,-1.707986488,37.58179545,-195.7362356,-34.86058038
0.211,8.961455202,4.368952216,-1.737377621,38.06331585,-196.2854455,-32.34312252
0.212,8.95763064,4.362673188,-1.76671446,38.54746489,-196.7980767,-29.81830655
0.213,8.953747736,4.356291866,-1.795996163,39.03420099,-197.2740308,-27.2866524
0.214,8.94980689,4.349808582,-1.825221889,39.52348031,-197.7132178,-24.74868053
0.215,8.945808506,4.343223671,-1.854390806,40.01525673,-198.1155562,-22.20491178
0.216,8.941752994,4.336537476,-1.883502085,40.50948187,-198.4809727,-19.65586725
0.217,8.937640768,4.329750339,-1.912554903,41.00610509,-198.8094024,-17.10206814
0.218,8.933472249,4.32286261,-1.941548443,41.50507355,-199.1007887,-14.54403561
0.219,8.929247863,4.315874642,-1.970481893,42.00633214,-199.3550834,-11.98229067
0.22,8.924968041,4.308786793,-1.999354447,42.50982359,-199.5722464,-9.417353979
0.221,8.920633217,4.301599423,-2.028165304,43.01548842,-199.7522462,-6.849745787
0.222,8.916243834,4.2943129,-2.056913669,43.52326499,-199.8950592,-4.279985733
0.223,8.911800336,4.286927592,-2.085598753,44.03308951,-200.0006704,-1.708592739
0.224,8.907303174,4.279443874,-2.114219773,44.54489604,-200.0690727,0.863915133
0.225,8.902752804,4.271862122,-2.142775951,45.05861656,-200.1002673,3.437020811
0.226,8.898149685,4.264182718,-2.171266515,45.57418093,-200.0942635,6.010208353
0.227,8.893494282,4.256406047,-2.199690701,46.09151696,-200.0510788,8.582963071
